"","country","points","price","province","variety"
"55933","US",88,34,"California","Syrah"
"28654","Italy",87,18,"Tuscany","Red Blend"
"130458","US",84,20,"California","Bordeaux-style Red Blend"
"4855","France",90,NA,"Alsace","Riesling"
"53177","France",92,78,"Burgundy","Chardonnay"
"148679","Portugal",89,150,"Port","Port"
"105005","South Africa",85,12,"Stellenbosch","Chenin Blanc"
"123814","Chile",90,20,"Colchagua Valley","Carmenère"
"100405","Australia",90,21,"Western Australia","Shiraz"
"133467","Italy",84,NA,"Northeastern Italy","Pinot Grigio"
"80802","US",86,36,"California","Tempranillo"
"109258","US",94,44,"California","Pinot Noir"
"23404","Argentina",85,17,"Mendoza Province","Chardonnay"
"145601","France",90,19,"Burgundy","Champagne Blend"
"47125","US",81,24,"California","Mourvèdre"
"144822","New Zealand",90,30,"Waipara","Pinot Noir"
"62265","US",92,28,"Washington","Cabernet Franc"
"35320","Chile",88,30,"Casablanca Valley","Syrah"
"24201","US",91,71,"California","Petite Verdot"
"35124","France",88,NA,"Alsace","Gewürztraminer"
"75548","Italy",89,16,"Piedmont","Dolcetto"
"23525","US",85,25,"California","Cabernet Sauvignon"
"60755","US",82,20,"California","Pinot Grigio"
"123611","New Zealand",90,39,"Waipara Valley","Chardonnay"
"100817","US",87,50,"California","Petite Verdot"
"90560","Argentina",85,12,"Other","Sauvignon Blanc"
"70303","US",88,20,"Washington","Syrah"
"135414","Argentina",81,9,"Mendoza Province","Cabernet Sauvignon-Malbec"
"17547","Austria",87,16,"Niederösterreich","Grüner Veltliner"
"91544","US",84,38,"California","Chardonnay"
"27918","Germany",89,28,"Pfalz","Red Blend"
"71814","Argentina",81,15,"Other","Bonarda"
"120288","US",92,60,"California","Pinot Noir"
"32477","France",90,13,"Bordeaux","Bordeaux-style Red Blend"
"114267","US",88,38,"California","Chardonnay"
"95540","US",92,75,"California","Cabernet Sauvignon"
"81138","Portugal",93,50,"Douro","Portuguese Red"
"138955","US",90,25,"Washington","Viognier"
"73408","Chile",90,20,"Colchagua Valley","Red Blend"
"76372","France",88,15,"Languedoc-Roussillon","Red Blend"
"39643","Italy",85,24,"Tuscany","Sangiovese Grosso"
"115338","Italy",86,20,"Northeastern Italy","Ribolla Gialla"
"41175","France",88,15,"Bordeaux","Bordeaux-style Red Blend"
"97170","US",88,30,"California","Cabernet Sauvignon"
"83072","Chile",86,20,"Leyda Valley","Sauvignon Blanc"
"62192","Argentina",84,10,"Mendoza Province","Malbec"
"106569","Spain",85,10,"Catalonia","Sparkling Blend"
"32992","US",84,14,"Washington","Cabernet Merlot"
"60807","New Zealand",86,20,"Central Otago","Pinot Noir"
"65689","France",89,22,"Loire Valley","Chenin Blanc"
"83255","Spain",83,7,"Central Spain","Tempranillo"
"43327","Italy",89,32,"Tuscany","Sangiovese Grosso"
"110207","US",87,17,"California","Zinfandel"
"30598","Chile",84,13,"Casablanca Valley","Chardonnay"
"130746","Chile",80,16,"Casablanca Valley","White Blend"
"144149","Australia",91,35,"Victoria","Chardonnay"
"147647","Italy",84,43,"Tuscany","Sangiovese"
"92414","US",85,20,"California","Chardonnay"
"28487","US",86,13,"California","Chardonnay"
"1282","US",85,25,"New York","Red Blend"
"100639","US",87,29,"California","Chardonnay"
"16295","US",87,14,"California","Pinot Grigio"
"70089","Spain",88,38,"Northern Spain","Tempranillo Blend"
"112115","US",83,15,"California","Merlot"
"145339","US",89,18,"Washington","Syrah"
"77900","Portugal",90,28,"Dão","Portuguese White"
"82310","Argentina",85,12,"Mendoza Province","Red Blend"
"63225","US",84,36,"California","Bordeaux-style Red Blend"
"43829","US",86,11,"California","Malbec"
"38117","France",87,55,"Alsace","Gewürztraminer"
"16370","South Africa",88,15,"Coastal Region","Chenin Blanc"
"93476","US",84,10,"California","Pinot Noir"
"28235","US",90,85,"California","White Blend"
"50676","Portugal",85,11,"Vinho Verde","Portuguese White"
"61932","US",86,9,"California","Cabernet Sauvignon"
"54832","Italy",86,15,"Piedmont","Moscato"
"23549","Ukraine",84,13,"Ukraine","Sparkling Blend"
"118221","Spain",84,12,"Northern Spain","Tempranillo"
"116003","Argentina",89,10,"Mendoza Province","Malbec"
"138822","Italy",90,29,"Central Italy","Montepulciano"
"74586","Italy",90,NA,"Southern Italy","Aglianico"
"35383","US",89,20,"California","Pinot Gris"
"68769","South Africa",87,19,"Stellenbosch","Chardonnay"
"61467","US",85,32,"California","Rhône-style Red Blend"
"4498","US",93,40,"California","Pinot Noir"
"24284","US",93,105,"California","Cabernet Sauvignon"
"136661","US",87,31,"California","Pinot Noir"
"16558","US",87,40,"California","Pinot Noir"
"64226","Greece",84,21,"Greece","Red Blend"
"118055","US",88,20,"Washington","Chardonnay"
"80612","Portugal",88,23,"Lisboa","Fernão Pires"
"65909","New Zealand",86,18,"Canterbury","Pinot Noir"
"88172","Australia",87,14,"South Australia","Pinot Grigio"
"150143","New Zealand",86,17,"Marlborough","Sauvignon Blanc"
"37540","US",82,30,"California","Petite Sirah"
"6930","Italy",86,12,"Tuscany","Sangiovese"
"63590","Australia",87,25,"New South Wales","Sauvignon Blanc"
"104405","Chile",85,10,"Central Valley","Pinot Noir"
"137712","Argentina",91,25,"Other","Red Blend"
"76962","Portugal",91,NA,"Beiras","Bical"
"110250","Spain",83,47,"Northern Spain","Tempranillo"
"89430","Chile",87,14,"Casablanca Valley","Sauvignon Blanc"
"61655","Chile",92,25,"Maipo Valley","Carmenère"
"132566","US",86,28,"California","Petite Sirah"
"127815","Portugal",85,10,"Península de Setúbal","Portuguese White"
"69165","Italy",93,45,"Tuscany","Sangiovese"
"100997","Spain",90,25,"Northern Spain","Tempranillo"
"149125","US",87,14,"Washington","Bordeaux-style Red Blend"
"4312","France",89,50,"Champagne","Chardonnay"
"53940","Italy",86,NA,"Veneto","Glera"
"45543","Portugal",84,13,"Alentejano","Portuguese Red"
"144661","US",88,13,"California","Cabernet Sauvignon"
"81217","Spain",89,20,"Northern Spain","Tempranillo"
"7285","France",87,20,"Alsace","Pinot Noir"
"61420","US",88,20,"California","Zinfandel"
"4693","France",84,15,"Bordeaux","Bordeaux-style Red Blend"
"70777","US",90,41,"California","Merlot"
"10777","US",95,65,"California","Pinot Noir"
"143564","US",88,18,"California","Rosé"
"28322","US",82,34,"California","Pinot Noir"
"85744","US",90,75,"California","Red Blend"
"115435","France",86,17,"Loire Valley","Chenin Blanc-Chardonnay"
"38195","US",87,45,"California","Cabernet Sauvignon"
"27105","US",90,45,"Oregon","Pinot Noir"
"117933","US",90,42,"California","Syrah"
"40042","US",92,195,"California","Cabernet Sauvignon"
"117294","US",93,45,"Washington","Bordeaux-style Red Blend"
"60633","US",82,35,"California","Zinfandel"
"43621","US",86,25,"California","Cabernet Sauvignon"
"82864","US",93,35,"Washington","Bordeaux-style Red Blend"
"65590","New Zealand",87,17,"Marlborough","Sauvignon Blanc"
"123479","Italy",85,NA,"Veneto","Red Blend"
"118828","US",82,32,"Oregon","Syrah"
"144905","Italy",91,105,"Piedmont","Nebbiolo"
"54682","South Africa",89,30,"Stellenbosch","Bordeaux-style Red Blend"
"1388","US",88,18,"California","Pinot Noir"
"117977","US",89,28,"California","Chardonnay"
"121647","US",84,25,"Washington","Sangiovese"
"75797","France",89,NA,"Bordeaux","Bordeaux-style Red Blend"
"118209","US",84,28,"California","Red Blend"
"119576","Spain",84,15,"Northern Spain","White Blend"
"84866","US",83,16,"Oregon","Pinot Noir"
"139033","Chile",86,15,"Leyda Valley","Sauvignon Blanc"
"73042","Israel",87,NA,"Israel","Red Blend"
"108333","Chile",90,25,"Elqui Valley","Syrah"
"410","US",90,22,"California","Chardonnay"
"134279","New Zealand",86,21,"Martinborough","Riesling"
"148631","US",85,15,"California","Merlot"
"34192","Portugal",88,21,"Vinho Verde","Alvarinho"
"100931","Spain",87,10,"Northern Spain","Red Blend"
"109184","US",90,30,"California","Cabernet Sauvignon"
"38851","France",93,NA,"Bordeaux","Bordeaux-style Red Blend"
"94265","Italy",87,NA,"Veneto","Corvina, Rondinella, Molinara"
"30786","Italy",88,35,"Veneto","Red Blend"
"87125","US",82,37,"California","Sauvignon Blanc"
"79707","US",86,18,"California","Chardonnay"
"98184","US",87,28,"California","Pinot Noir"
"58014","Italy",87,45,"Central Italy","Montepulciano"
"80352","US",87,20,"Oregon","Pinot Noir"
"16832","Spain",87,12,"Northern Spain","Mencía"
"44572","Chile",91,95,"Aconcagua Valley","Red Blend"
"107167","US",84,28,"California","Rhône-style Red Blend"
"150113","Italy",90,35,"Tuscany","Sangiovese"
"65753","New Zealand",86,10,"Marlborough","Sauvignon Blanc"
"135728","US",92,42,"California","Sparkling Blend"
"88722","Italy",90,NA,"Piedmont","Nebbiolo"
"9933","Australia",90,15,"New South Wales","Cabernet Sauvignon"
"88906","Argentina",85,9,"Mendoza Province","Malbec"
"112639","Italy",91,39,"Sicily & Sardinia","Nero d'Avola"
"30127","Italy",85,19,"Veneto","Glera"
"110525","Australia",83,20,"South Australia","Chardonnay"
"91342","France",93,85,"Southwest France","Malbec"
"135782","Chile",92,50,"Colchagua Valley","Red Blend"
"138065","France",87,12,"Bordeaux","Bordeaux-style White Blend"
"6026","US",95,39,"Oregon","Zinfandel"
"103628","US",87,24,"California","Cabernet Sauvignon"
"123716","US",90,54,"California","Pinot Noir"
"134861","US",85,18,"California","Chardonnay"
"4402","France",87,16,"Southwest France","Red Blend"
"21055","Italy",87,16,"Veneto","Corvina, Rondinella, Molinara"
"125710","Italy",88,NA,"Central Italy","Red Blend"
"119048","US",83,15,"California","Sauvignon Blanc"
"111609","US",90,20,"Washington","Cabernet Sauvignon"
"82659","US",85,30,"Washington","Bordeaux-style Red Blend"
"90878","Australia",92,48,"South Australia","Shiraz-Viognier"
"40347","France",84,13,"Bordeaux","Bordeaux-style Red Blend"
"18952","US",85,12,"California","Petite Sirah"
"116045","Australia",85,18,"South Australia","Riesling"
"100787","Italy",91,45,"Northeastern Italy","White Blend"
"16499","Germany",90,18,"Mosel","Riesling"
"138662","Italy",87,65,"Tuscany","Sangiovese"
"101266","Chile",86,13,"Maipo Valley","Cabernet Sauvignon"
"5643","Spain",88,17,"Northern Spain","Tempranillo"
"77308","US",91,18,"Washington","Riesling"
"114534","US",87,28,"California","Cabernet Sauvignon"
"39750","New Zealand",92,48,"Nelson","Chardonnay"
"121391","US",88,18,"Washington","Cabernet Franc"
"89866","US",87,24,"Oregon","Grenache"
"29189","US",87,35,"New York","Cabernet Franc"
"92930","France",96,NA,"Bordeaux","Bordeaux-style Red Blend"
"97974","Italy",90,28,"Tuscany","Sangiovese"
"132503","South Africa",89,45,"Stellenbosch","Cabernet Sauvignon"
"55917","US",89,15,"New York","Riesling"
"66653","US",89,12,"California","Cabernet Sauvignon"
"58779","Spain",91,71,"Northern Spain","Tinto Fino"
"145682","US",90,24,"California","Cabernet Sauvignon"
"106852","US",92,26,"Washington","Cabernet Sauvignon"
"30222","US",86,30,"Washington","Chardonnay"
"14191","Austria",91,45,"Wachau","Riesling"
"53578","Italy",87,30,"Southern Italy","Aglianico"
"25823","Portugal",86,17,"Alentejano","Portuguese White"
"131895","US",90,12,"California","Rosé"
"101401","Italy",87,18,"Piedmont","Dolcetto"
"47135","France",88,25,"Bordeaux","Bordeaux-style Red Blend"
"103373","US",87,21,"Virginia","Cabernet Franc"
"147563","Italy",84,10,"Central Italy","White Blend"
"25033","US",88,35,"California","Syrah-Cabernet"
"9450","France",85,16,"Loire Valley","Rosé"
"129443","Australia",83,8,"Australia Other","Chardonnay"
"93343","US",92,42,"Washington","Cabernet Sauvignon"
"41128","US",92,50,"California","Cabernet Sauvignon"
"22617","France",91,NA,"Burgundy","Pinot Noir"
"83196","US",90,28,"California","Chardonnay"
"85181","France",87,20,"Burgundy","Pinot Noir"
"93551","Italy",94,75,"Tuscany","Sangiovese Grosso"
"69443","Italy",89,20,"Northeastern Italy","Pinot Bianco"
"127669","Austria",85,14,"Burgenland","Blaufränkisch"
"5003","France",84,NA,"Bordeaux","Bordeaux-style Red Blend"
"96448","Germany",91,NA,"Mosel","Riesling"
"129377","Spain",91,16,"Galicia","Albariño"
"6283","Spain",86,16,"Northern Spain","Tempranillo Blend"
"78510","US",90,32,"California","Cabernet Sauvignon"
"18181","US",87,15,"California","Sauvignon Blanc"
"140183","US",94,51,"California","Merlot"
"62493","US",87,26,"California","Sauvignon Blanc"
"134409","US",94,35,"California","Cabernet Sauvignon"
"15707","Australia",86,15,"South Australia","Riesling"
"121648","Chile",84,25,"Curicó Valley","Riesling"
"111711","Italy",86,NA,"Tuscany","Chardonnay"
"16886","US",82,45,"California","Syrah"
"111104","Australia",85,13,"Australia Other","Shiraz"
"103343","Italy",87,33,"Central Italy","Sangiovese"
"111300","Australia",84,25,"Victoria","Cabernet Sauvignon-Cabernet Franc"
"30437","Mexico",85,28,"Valle de Guadalupe","Grenache"
"70340","US",93,52,"California","Cabernet Sauvignon"
"67307","US",87,45,"California","Zinfandel"
"3371","Spain",86,10,"Levante","Monastrell"
"50631","Australia",87,20,"South Australia","Cabernet Sauvignon"
"130097","Italy",90,27,"Sicily & Sardinia","Carignano"
"89010","South Africa",84,11,"Northern Cape","Sparkling Blend"
"57431","US",93,38,"Washington","Syrah"
"105284","New Zealand",84,12,"Marlborough","Sauvignon Blanc"
"57041","US",88,20,"New York","Lemberger"
"84095","US",89,20,"California","Sauvignon Blanc"
"57254","Chile",90,24,"Casablanca Valley","Chardonnay"
"11611","France",91,159,"Burgundy","Chardonnay"
"43467","US",91,24,"California","Riesling"
"94028","US",90,44,"California","Pinot Noir"
"68206","Italy",85,8,"Northeastern Italy","Pinot Grigio"
"96900","Chile",85,10,"Curicó Valley","Merlot"
"98308","Chile",89,26,"San Antonio","Chardonnay"
"78371","Italy",86,NA,"Piedmont","Dolcetto"
"55683","Italy",90,NA,"Northeastern Italy","Picolit"
"124920","France",89,27,"Loire Valley","Sauvignon Blanc"
"88076","Portugal",88,11,"Lisboa","Portuguese Red"
"54969","US",90,32,"California","Chardonnay"
"54999","South Africa",90,40,"Stellenbosch","Red Blend"
"25313","New Zealand",87,10,"Marlborough","Sauvignon Blanc"
"90427","US",81,12,"California","Pinot Grigio"
"46477","Portugal",83,16,"Alentejano","Portuguese Red"
"103276","France",83,NA,"Rhône Valley","Rhône-style Red Blend"
"60611","US",86,30,"New York","Merlot"
"128092","Italy",86,17,"Central Italy","Sangiovese"
"22949","Spain",87,15,"Northern Spain","Tempranillo Blend"
"109091","France",92,NA,"Bordeaux","Bordeaux-style Red Blend"
"75614","Italy",84,39,"Tuscany","Sangiovese"
"125677","Italy",87,24,"Tuscany","Alicante"
"7866","Italy",87,NA,"Sicily & Sardinia","Catarratto"
"66881","US",87,31,"California","Pinot Noir"
"31918","Spain",87,29,"Catalonia","Sparkling Blend"
"148092","US",91,55,"California","Chardonnay"
"146236","Argentina",88,15,"Mendoza Province","Malbec"
"48072","Italy",88,14,"Piedmont","Barbera"
"136816","France",94,203,"Burgundy","Chardonnay"
"105561","Chile",87,12,"Curicó Valley","Cabernet Franc"
"41182","France",88,NA,"Bordeaux","Bordeaux-style Red Blend"
"135147","US",96,75,"California","Chardonnay"
"120154","US",93,48,"California","Pinot Noir"
"98052","US",88,150,"California","Cabernet Sauvignon"
"145023","US",90,10,"Washington","Chardonnay"
"73694","Italy",90,58,"Piedmont","Nebbiolo"
"38695","Austria",88,20,"Thermenregion","Rotgipfler"
"54186","Germany",95,130,"Mosel-Saar-Ruwer","Riesling"
"141130","Portugal",83,9,"Vinho Verde","Portuguese White"
"33621","Portugal",88,18,"Douro","Portuguese White"
"77092","US",93,45,"California","Pinot Noir"
"121576","US",92,38,"California","Syrah"
"122018","US",90,36,"New York","Riesling"
"46285","Portugal",88,24,"Lisboa","Portuguese Red"
"73984","US",90,20,"California","Sauvignon Blanc"
"81557","US",89,25,"New York","Vidal Blanc"
"35747","Spain",87,20,"Northern Spain","Tempranillo"
"52380","Spain",92,32,"Northern Spain","Tempranillo"
"94272","US",87,18,"New York","Cabernet Franc"
"98024","Chile",88,21,"Colchagua Valley","Red Blend"
"82940","Argentina",90,30,"Mendoza Province","Malbec"
"4648","US",88,20,"California","Malbec"
"39391","US",85,13,"California","Cabernet Sauvignon"
"69894","France",88,13,"Alsace","Riesling"
"57905","US",87,14,"California","Cabernet Sauvignon"
"96422","US",91,24,"Oregon","Pinot Noir"
"5559","Greece",87,30,"Chalkidiki","White Blend"
"80250","Slovenia",82,15,"Štajerska","Pinot Noir"
"57470","Spain",86,10,"Catalonia","White Blend"
"107265","Spain",88,25,"Northern Spain","Tempranillo"
"75014","US",85,30,"Oregon","Pinot Noir"
"133600","Germany",90,31,"Mosel","Riesling"
"63077","US",84,20,"California","Pinot Noir"
"148214","US",90,60,"California","Chardonnay"
"37131","Portugal",88,28,"Tejo","White Blend"
"13211","US",86,50,"Oregon","Pinot Noir"
"144810","US",92,50,"California","Cabernet Sauvignon-Merlot"
"41959","US",87,37,"California","Chardonnay"
"116037","US",84,15,"Washington","Chardonnay"
"138098","France",89,27,"Loire Valley","Sauvignon Blanc"
"51368","Italy",87,10,"Southern Italy","Red Blend"
"73532","US",91,38,"California","Chardonnay"
"77789","Greece",86,20,"Atalanti Valley","Merlot"
"102482","US",85,30,"California","Syrah"
"125242","US",85,50,"California","Pinot Noir"
"128799","Italy",86,15,"Piedmont","Dolcetto"
"108276","US",91,45,"Oregon","Pinot Noir"
"35138","Italy",87,40,"Piedmont","Nebbiolo"
"17775","South Africa",87,13,"Stellenbosch","Chenin Blanc"
"110648","Italy",86,83,"Veneto","Corvina, Rondinella, Molinara"
"106816","US",93,70,"California","Pinot Noir"
"116335","Portugal",83,NA,"Lisboa","Moscatel"
"695","US",90,55,"California","Pinot Noir"
"27781","France",89,32,"Burgundy","Chardonnay"
"105535","US",91,40,"Washington","Syrah"
"36979","US",88,45,"Washington","Sangiovese"
"4353","US",85,20,"New York","Cabernet Sauvignon"
"25059","Italy",88,NA,"Tuscany","Red Blend"
"108881","US",90,32,"California","Zinfandel"
"75385","US",89,40,"California","Grenache"
"101091","US",90,50,"California","Sparkling Blend"
"83504","Portugal",89,9,"Douro","Portuguese Red"
"47068","US",90,35,"California","Chardonnay"
"113991","US",87,28,"California","Cabernet Sauvignon"
"47718","US",93,86,"California","Cabernet Sauvignon"
"129979","US",90,35,"California","Syrah"
"11337","France",91,20,"Burgundy","Chardonnay"
"92169","US",87,30,"California","Chardonnay"
"112210","US",90,75,"Washington","Red Blend"
"112899","US",91,29,"Washington","Cabernet Sauvignon"
"14875","Italy",91,90,"Southern Italy","Red Blend"
"61700","Italy",87,12,"Tuscany","Sangiovese"
"31274","Italy",87,49,"Southern Italy","Aglianico"
"73673","France",87,45,"Champagne","Champagne Blend"
"109450","Austria",88,NA,"Carnuntum","Pinot Noir"
"128187","France",86,NA,"Southwest France","Malbec"
"95412","US",92,28,"California","Petite Sirah"
"8802","Italy",91,32,"Tuscany","Red Blend"
"103064","Argentina",87,12,"Mendoza Province","Cabernet Sauvignon"
"122706","US",87,22,"New York","Merlot"
"7677","US",87,17,"California","Cabernet Sauvignon"
"122036","France",90,30,"France Other","Tannat"
"123672","US",93,53,"California","Syrah"
"127860","Chile",83,13,"Central Valley","Carmenère"
"76376","US",88,20,"Oregon","Pinot Noir"
"138932","US",91,40,"California","Pinot Noir"
"13853","Spain",87,10,"Central Spain","Tempranillo"
"92215","Italy",88,15,"Veneto","Corvina, Rondinella, Molinara"
"73854","US",90,40,"California","Chardonnay"
"51746","US",93,75,"California","Pinot Noir"
"21137","France",91,NA,"Bordeaux","Bordeaux-style Red Blend"
"133560","France",89,NA,"Bordeaux","Bordeaux-style White Blend"
"35650","Spain",87,17,"Galicia","Albariño"
"138769","Argentina",86,15,"Mendoza Province","Cabernet Sauvignon"
"30142","Italy",85,18,"Central Italy","Lambrusco"
"111726","US",84,21,"California","Chardonnay"
"39832","Austria",90,18,"Wachau","Grüner Veltliner"
"24655","US",90,38,"California","Pinot Noir"
"46254","US",91,25,"California","Bordeaux-style Red Blend"
"32880","US",85,40,"California","Pinot Noir"
"100361","South Africa",87,12,"Stellenbosch","Chenin Blanc"
"95922","US",90,45,"California","Syrah"
"84246","US",86,35,"California","Chardonnay"
"49935","US",84,32,"California","Cabernet Sauvignon"
"88364","Italy",88,16,"Veneto","Glera"
"13817","Chile",86,15,"Colchagua Valley","Viognier-Chardonnay"
"88846","US",88,28,"Oregon","Pinot Noir"
"48380","Italy",88,NA,"Tuscany","Sangiovese"
"47547","US",86,41,"Washington","Bordeaux-style Red Blend"
"14947","US",90,56,"Washington","Syrah"
"98965","Italy",94,NA,"Piedmont","Nebbiolo"
"133113","France",90,22,"Languedoc-Roussillon","Rhône-style Red Blend"
"136155","Italy",86,20,"Tuscany","Red Blend"
"30409","France",92,105,"Bordeaux","Bordeaux-style Red Blend"
"9622","US",91,32,"California","Pinot Noir"
"131400","France",96,NA,"Bordeaux","Bordeaux-style White Blend"
"139046","US",86,32,"California","Pinot Noir"
"108225","France",89,20,"Loire Valley","Chenin Blanc"
"83564","France",83,15,"Bordeaux","Bordeaux-style Red Blend"
"113295","France",94,98,"Rhône Valley","Syrah"
"67463","US",84,60,"California","Pinot Noir"
"73354","France",87,22,"Burgundy","Pinot Noir"
"1734","US",90,40,"California","Chardonnay"
"142580","US",94,NA,"California","Pinot Noir"
"93932","Spain",83,12,"Northern Spain","Tempranillo Blend"
"137484","Australia",90,30,"New South Wales","Chardonnay"
"39739","Italy",92,85,"Tuscany","Sangiovese Grosso"
"146300","Italy",88,41,"Tuscany","Cabernet Sauvignon"
"98585","Austria",87,NA,"Wachau","Riesling"
"4688","Argentina",85,22,"Mendoza Province","Pinot Noir"
"59500","Cyprus",85,16,"Pitsilia Mountains","Red Blend"
"135240","France",94,62,"Champagne","Chardonnay"
"113190","US",94,65,"California","Pinot Noir"
"90021","US",87,48,"California","Pinot Noir"
"3725","US",87,16,"Oregon","Pinot Noir"
"84879","US",87,45,"California","Syrah"
"77740","Germany",87,22,"Mosel","Riesling"
"105138","Italy",86,8,"Central Italy","Montepulciano"
"87482","US",86,11,"Washington","Pinot Grigio"
"72700","US",91,110,"California","Cabernet Sauvignon"
"22646","Australia",88,19,"South Australia","Shiraz"
"54780","US",86,26,"Virginia","Viognier"
"70482","US",92,95,"California","Cabernet Franc"
"105859","US",87,42,"Oregon","Pinot Noir"
"124703","Italy",87,17,"Veneto","Prosecco"
"30905","France",84,NA,"Bordeaux","Bordeaux-style Red Blend"
"8","Spain",95,110,"Northern Spain","Tinta de Toro"
"121376","US",92,30,"Oregon","Syrah"
"141853","Portugal",89,NA,"Port","Port"
"127732","Italy",86,NA,"Piedmont","Barbera"
"101336","Spain",87,11,"Northern Spain","White Blend"
"129574","France",84,14,"Loire Valley","Cabernet Franc"
"92371","Portugal",90,NA,"Port","Port"
"55303","US",90,16,"New York","Pinot Gris"
"78148","France",88,25,"Southwest France","Red Blend"
"57810","US",91,40,"California","Cabernet Sauvignon"
"56990","US",94,55,"California","Cabernet Sauvignon"
"136645","Austria",89,23,"Wagram-Donauland","Grüner Veltliner"
"16929","South Africa",88,15,"Western Cape","Chenin Blanc"
"88186","Australia",87,18,"South Australia","Sangiovese"
"103376","US",87,24,"New York","Cabernet Sauvignon"
"43909","France",85,NA,"Bordeaux","Bordeaux-style Red Blend"
"5235","US",90,35,"California","Cabernet Sauvignon"
"20537","US",89,13,"California","Gewürztraminer"
"97129","US",90,65,"California","Cabernet Sauvignon"
"285","US",92,100,"California","Cabernet Sauvignon"
"144951","France",87,12,"Rhône Valley","Rhône-style Red Blend"
"43325","France",89,NA,"Bordeaux","Bordeaux-style Red Blend"
"95779","Australia",85,13,"Australia Other","Cabernet Sauvignon"
"130897","France",89,NA,"Loire Valley","Pinot Noir"
"135527","US",92,40,"California","Pinot Noir"
"93018","Australia",89,17,"South Australia","Shiraz"
"79426","Australia",89,60,"South Australia","Cabernet Sauvignon"
"103213","US",86,27,"California","Sauvignon Blanc"
"28619","Spain",94,300,"Northern Spain","Tempranillo"
"62956","US",86,30,"California","Zinfandel"
"111243","US",85,22,"California","Cabernet Franc"
"131270","US",88,25,"California","Merlot"
"54427","South Africa",90,50,"Stellenbosch","Cabernet Sauvignon-Merlot"
"140448","Italy",90,49,"Tuscany","Sangiovese"
"144318","Italy",91,29,"Tuscany","Sangiovese"
"65360","Germany",89,39,"Mosel-Saar-Ruwer","Riesling"
"85208","Italy",88,20,"Tuscany","Red Blend"
"48307","Italy",88,NA,"Piedmont","Barbera"
"56525","Spain",87,20,"Galicia","Albariño"
"105621","Chile",82,20,"Central Valley","Cabernet Sauvignon"
"85204","Italy",88,17,"Tuscany","Rosato"
"73207","Italy",86,20,"Tuscany","Red Blend"
"93060","US",87,75,"Virginia","Meritage"
"134196","US",84,18,"California","Pinot Grigio"
"29875","Italy",88,30,"Northeastern Italy","White Blend"
"128976","US",85,17,"California","White Blend"
"67852","US",87,13,"California","Chardonnay"
"92693","US",90,45,"California","Pinot Noir"
"111836","US",86,40,"California","Pinot Noir"
"44544","US",85,10,"California","Merlot"
"22118","Argentina",95,50,"Mendoza Province","Red Blend"
"115542","US",87,19,"Washington","Merlot"
"33879","France",82,28,"Bordeaux","Sparkling Blend"
"20457","Italy",85,10,"Central Italy","Montepulciano"
"33964","Argentina",83,20,"Mendoza Province","Sauvignon Blanc"
"116793","US",86,42,"California","Pinot Noir"
"136043","US",90,25,"Washington","Cabernet Sauvignon"
"83741","Italy",82,18,"Sicily & Sardinia","Red Blend"
"148926","Austria",88,15,"Donauland","Grüner Veltliner"
"5364","France",88,12,"Alsace","Alsace white blend"
"7177","Portugal",88,28,"Dão","Touriga Nacional"
"67113","Chile",88,23,"Central Valley","Red Blend"
"47372","US",90,25,"California","Cabernet Sauvignon"
"45763","US",87,15,"California","Chardonnay"
"136039","US",90,55,"California","Cabernet Sauvignon"
"67345","Austria",85,16,"Burgenland","Zweigelt"
"125688","Spain",87,18,"Northern Spain","Tempranillo"
"108053","Spain",83,11,"Central Spain","Tempranillo"
"51513","Italy",88,25,"Lombardy","Sparkling Blend"
"124637","Italy",86,13,"Tuscany","Sangiovese"
"46661","US",87,18,"New York","Riesling"
"118507","Argentina",84,10,"Mendoza Province","Bonarda"
"94210","US",82,15,"California","Zinfandel"
"127657","Italy",85,22,"Veneto","Prosecco"
"99806","Italy",88,27,"Tuscany","Sangiovese"
"83181","US",92,20,"Washington","Syrah"
"106609","US",91,37,"California","Chardonnay"
"23772","US",96,95,"California","Cabernet Sauvignon"
"31427","US",86,20,"Washington","Cabernet Sauvignon"
"141521","Chile",88,72,"Maipo Valley","Cabernet Sauvignon"
"118430","Australia",88,18,"South Australia","Shiraz"
"117580","US",90,35,"California","Viognier"
"76267","South Africa",88,25,"Stellenbosch","Chardonnay"
"13610","Austria",91,NA,"Wagram","Roter Veltliner"
"130756","US",96,57,"California","Pinot Noir"
"72889","France",91,NA,"Bordeaux","Bordeaux-style Red Blend"
"87246","Italy",85,18,"Piedmont","Dolcetto"
"33749","US",86,36,"California","Petite Sirah"
"19144","France",90,NA,"Languedoc-Roussillon","Rhône-style Red Blend"
"114789","US",87,40,"California","Pinot Noir"
"123981","Italy",92,47,"Piedmont","Barbera"
"112529","Spain",89,15,"Northern Spain","Verdejo"
"121379","Italy",91,70,"Veneto","Corvina, Rondinella, Molinara"
"14245","France",88,55,"Burgundy","Pinot Noir"
"52545","Italy",85,NA,"Piedmont","Barbera"
"43751","France",90,85,"Burgundy","Pinot Noir"
"47842","Italy",86,NA,"Tuscany","Sangiovese"
"103941","Chile",87,11,"Casablanca Valley","Chardonnay"
"74967","Italy",89,NA,"Piedmont","Nebbiolo"
"20276","Portugal",86,13,"Alentejano","Portuguese White"
